cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
[TIMER] Process Time so far: 10.6517 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57608
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.57518
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57529
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.57442
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.57385
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.564
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.54414
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.52959
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.52812
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.52175
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.51823
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.50355
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.49207
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.49357
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.4895
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.48015
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.47467
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.4692
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.47071
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.45749
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.45571
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.45549
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.45348
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.44911
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.44823
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.44801
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.44125
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.44405
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.42752
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.44121
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.43277
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.43071
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.42356
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.44461
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.43466
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.42624
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.42803
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.42065
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.41978
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.41597
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.42643
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.42636
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.4216
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.42033
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.41068
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.41465
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.41302
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.41505
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.41555
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.40854
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.40913
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.40405
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.40941
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.40237
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.40326
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.39982
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.40884
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.40164
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.41042
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.41024
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.39868
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.39864
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.39572
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.39067
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.39946
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.40087
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.39221
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.3911
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.39947
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.39246
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.39613
Epoch: 1, Mini-Batches Processed: 36000, Loss: 0.39343
Epoch: 1, Mini-Batches Processed: 36500, Loss: 0.39996
Epoch: 1, Mini-Batches Processed: 37000, Loss: 0.38613
Epoch: 1, Mini-Batches Processed: 37500, Loss: 0.38588
Epoch: 1, Mini-Batches Processed: 38000, Loss: 0.39616
Epoch: 1, Mini-Batches Processed: 38500, Loss: 0.38185
Epoch: 1, Mini-Batches Processed: 39000, Loss: 0.38194
Epoch: 1, Mini-Batches Processed: 39500, Loss: 0.38644
