cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
[TIMER] Process Time so far: 4.72363 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57611
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.57518
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57574
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.57519
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.57358
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.56273
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.54139
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.52776
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.53576
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.52523
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.52837
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.5159
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.50443
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.50169
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.47575
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.4774
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.46964
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.4522
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.4493
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.44282
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.43562
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.4357
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.43049
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.43145
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.4247
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.41631
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.42099
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.41979
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.41622
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.41626
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.40634
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.40727
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.40836
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.40668
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.40433
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.40144
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.39412
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.39752
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.39286
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.40011
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.39274
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.38944
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.39794
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.39756
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.39136
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.38335
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.39071
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.39315
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.38956
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.39763
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.38197
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.3786
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.37899
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.37532
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.38903
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.37491
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.37977
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.38079
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.37471
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.37835
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.37974
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.37521
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.3749
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.37231
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.3703
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.37417
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.37917
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.36548
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.36475
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.3717
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.37483
Epoch: 1, Mini-Batches Processed: 36000, Loss: 0.37012
Epoch: 1, Mini-Batches Processed: 36500, Loss: 0.36552
Epoch: 1, Mini-Batches Processed: 37000, Loss: 0.3657
Epoch: 1, Mini-Batches Processed: 37500, Loss: 0.38299
[TIMER] Process Time so far: 331.55 seconds
Starting validation...
[TRAINING] 67841 out of 150000
[VALIDATION] 4638 out of 10000
[TIMER] Process Time so far: 491.695 seconds
Beginning Epoch 2...
Epoch: 2, Mini-Batches Processed:   500, Loss: 0.35345
