cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
[TIMER] Process Time so far: 7.52414 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57527
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.5756
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57366
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.56807
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.54619
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.53345
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.53074
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.51575
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.51625
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.52145
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.50953
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.51199
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.50639
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.49856
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.49574
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.49107
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.48759
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.48213
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.48023
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.47733
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.48197
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.47042
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.46627
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.46794
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.46658
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.46416
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.44954
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.45934
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.45422
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.4542
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.45667
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.45364
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.44411
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.44155
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.44248
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.45722
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.43541
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.44276
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.43409
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.42694
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.43178
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.43189
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.4349
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.43495
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.42288
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.42054
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.42858
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.41221
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.42763
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.44054
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.41632
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.41831
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.4189
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.4189
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.42933
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.41096
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.40664
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.41538
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.41523
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.41516
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.41133
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.41109
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.40972
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.40657
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.40985
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.41228
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.41484
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.39432
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.39872
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.39431
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.4112
Epoch: 1, Mini-Batches Processed: 36000, Loss: 0.4121
Epoch: 1, Mini-Batches Processed: 36500, Loss: 0.39275
Epoch: 1, Mini-Batches Processed: 37000, Loss: 0.40729
Epoch: 1, Mini-Batches Processed: 37500, Loss: 0.40481
Epoch: 1, Mini-Batches Processed: 38000, Loss: 0.39981
Epoch: 1, Mini-Batches Processed: 38500, Loss: 0.39792
Epoch: 1, Mini-Batches Processed: 39000, Loss: 0.40222
Epoch: 1, Mini-Batches Processed: 39500, Loss: 0.39619
