cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
[TIMER] Process Time so far: 7.52849 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57616
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.57588
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57496
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.57171
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.54475
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.52461
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.52129
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.51555
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.50447
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.5056
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.50457
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.49708
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.49034
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.49288
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.48743
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.47734
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.4748
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.47987
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.47265
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.46361
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.46227
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.45277
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.45686
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.46335
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.45034
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.44052
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.45199
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.44921
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.43542
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.43574
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.43364
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.43299
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.43807
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.42333
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.43575
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.42234
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.42178
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.42158
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.41711
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.41569
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.40638
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.4059
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.40472
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.40033
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.39985
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.4046
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.40748
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.40794
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.4106
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.39917
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.39435
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.39849
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.39483
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.39972
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.39382
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.39169
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.38625
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.38808
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.39995
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.39048
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.39038
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.37806
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.38957
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.38327
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.39014
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.38724
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.38007
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.37726
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.37595
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.38349
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.37914
Epoch: 1, Mini-Batches Processed: 36000, Loss: 0.37466
Epoch: 1, Mini-Batches Processed: 36500, Loss: 0.38745
Epoch: 1, Mini-Batches Processed: 37000, Loss: 0.3721
Epoch: 1, Mini-Batches Processed: 37500, Loss: 0.37556
Epoch: 1, Mini-Batches Processed: 38000, Loss: 0.36925
Epoch: 1, Mini-Batches Processed: 38500, Loss: 0.37916
Epoch: 1, Mini-Batches Processed: 39000, Loss: 0.36406
Epoch: 1, Mini-Batches Processed: 39500, Loss: 0.37765
