cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
[TIMER] Process Time so far: 7.95522 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57587
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.57575
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57547
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.57506
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.57314
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.56846
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.53889
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.53972
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.52356
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.51692
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.50626
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.50889
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.49459
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.49914
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.49162
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.49277
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.47933
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.47376
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.46892
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.46787
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.46254
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.4688
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.46079
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.44508
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.44905
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.44388
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.44626
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.45084
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.44871
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.43113
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.43824
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.42017
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.43676
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.43193
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.43142
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.43968
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.43098
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.42888
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.41306
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.42209
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.42863
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.42388
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.42521
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.42886
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.42969
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.41613
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.41072
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.42019
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.41776
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.41445
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.41426
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.40727
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.41522
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.40603
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.41839
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.40473
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.406
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.40794
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.40418
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.39697
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.39972
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.40582
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.39561
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.40266
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.403
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.40718
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.40647
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.39288
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.39965
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.39629
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.41263
Epoch: 1, Mini-Batches Processed: 36000, Loss: 0.40626
Epoch: 1, Mini-Batches Processed: 36500, Loss: 0.39371
Epoch: 1, Mini-Batches Processed: 37000, Loss: 0.39992
Epoch: 1, Mini-Batches Processed: 37500, Loss: 0.3971
Epoch: 1, Mini-Batches Processed: 38000, Loss: 0.38779
Epoch: 1, Mini-Batches Processed: 38500, Loss: 0.39351
Epoch: 1, Mini-Batches Processed: 39000, Loss: 0.40628
Epoch: 1, Mini-Batches Processed: 39500, Loss: 0.3995
